ILCE;MAHALLE;YAPI;DIGER_YAPI
KONAK;ZEYBEK;516;6
KONAK;ZEYTİNLİK;1038;59
MENDERES;AHMETBEYLİ;2000;37
MENDERES;AKÇAKÖY;216;11
MENDERES;ALTINTEPE;733;48
MENDERES;ATA;310;8
MENDERES;ATAKÖY;848;25
MENDERES;BARBAROS;715;37
MENDERES;BULGURCA;531;11
MENDERES;ÇAKALTEPE;463;25
MENDERES;ÇAMÖNÜ;688;5
MENDERES;ÇATALCA;374;28
MENDERES;ÇİLE;318;12
MENDERES;ÇİLEME;672;12
MENDERES;ÇUKURALTI;5226;93
MENDERES;CÜNEYTBEY;1004;51
MENDERES;DEĞİRMENDERE;930;113
MENDERES;DEREKÖY;612;66
MENDERES;DEVELİ;700;37
MENDERES;EFEMÇUKURU;214;39
MENDERES;GAZİPAŞA;1146;10
MENDERES;GÖLCÜKLER;1242;35
MENDERES;GÖLOVA;140;8
MENDERES;GÖRECE CUMHURİYET;924;76
MENDERES;GÜMÜLDÜR ATATÜRK;943;83
MENDERES;GÜMÜLDÜR CUMHURİYET;1063;44
MENDERES;GÜMÜLDÜR FEVZİ ÇAKMAK;1234;123
MENDERES;GÜMÜLDÜR İNÖNÜ;1790;150
MENDERES;HÜRRİYET;370;27
MENDERES;KARAKUYU;386;9
MENDERES;KASIMPAŞA;716;23
MENDERES;KELER;70;1
MENDERES;KEMALPAŞA;1077;27
MENDERES;KISIK;247;3
MENDERES;KÜNER;835;5
MENDERES;KUYUCAK;91;2
MENDERES;MİTHATPAŞA;704;10
MENDERES;OĞLANANASI ATATÜRK;1754;175
MENDERES;OĞLANANASI CUMHURİYET;523;191
MENDERES;ORTA;2129;31
MENDERES;ÖZDERE CUMHURİYET;846;43
MENDERES;SANCAKLI;307;27
MENDERES;ŞAŞAL;204;6
MENDERES;TEKELİ ATATÜRK;538;72
MENDERES;TEKELİ FEVZİ ÇAKMAK;496;39
MENDERES;YENİKÖY;573;6
MENEMEN;29 EKİM;822;73
MENEMEN;30 AĞUSTOS;404;42
MENEMEN;75.YIL CUMHURİYET;264;29
MENEMEN;85.YIL CUMHURİYET;243;20
MENEMEN;9 EYLÜL;667;32
MENEMEN;AHIHIDIR;742;30
MENEMEN;ALANİÇİ;152;5
MENEMEN;ATATÜRK;245;17
MENEMEN;AYVACIK;167;9
MENEMEN;BAĞCILAR;100;18
MENEMEN;BELEN;133;28
MENEMEN;BOZALAN;169;28
MENEMEN;BURUNCUK;212;18
MENEMEN;ÇALTI;102;31
MENEMEN;CAMİİKEBİR;531;28
MENEMEN;ÇAVUŞ;267;19
MENEMEN;ÇUKURKÖY;343;18
MENEMEN;CUMHURİYET;307;10
MENEMEN;DEĞİRMENDERE;469;23
MENEMEN;DOĞA;279;31
MENEMEN;EMİRALEM MERKEZ;514;19
MENEMEN;ESATPAŞA;576;17
MENEMEN;FATİH;523;54
MENEMEN;GAYBİ;166;3
MENEMEN;GAZİ;300;14
MENEMEN;GAZİ MUSTAFA KEMAL;340;31
MENEMEN;GÖKTEPE;281;22
MENEMEN;GÖLCÜK;846;21
MENEMEN;GÖRECE;123;15
MENEMEN;GÜNERLİ;146;13
MENEMEN;HASANLAR;123;8
MENEMEN;HATUNDERE;451;75
MENEMEN;HAYKIRAN;407;50
MENEMEN;İĞNEDERE;60;9
MENEMEN;İNCİRLİ PINAR;775;17
MENEMEN;İNÖNÜ;269;46
MENEMEN;IRMAK;1107;25
MENEMEN;İSMET İNÖNÜ;856;4
MENEMEN;İSTİKLAL;291;38
MENEMEN;KARAORMAN;38;3
MENEMEN;KASIMPAŞA;1023;13
MENEMEN;KAZIMPAŞA;841;13
MENEMEN;KEMAL ATATÜRK;372;14
MENEMEN;KESİK;356;35
MENEMEN;KIR;147;23
MENEMEN;MERMERLİ;1020;43
MENEMEN;MUSABEY;199;40
MENEMEN;MUSTAFA KEMAL ATATÜRK;249;20
MENEMEN;SEYDİNNASRULLAH;230;2
MENEMEN;SÜLEYMANLI;303;32
MENEMEN;SÜZBEYLİ;30;4
MENEMEN;TELEKLER;118;25
MENEMEN;TÜLBENTLİ;237;3
MENEMEN;TURGUTLAR;24;3
MENEMEN;TUZÇULLU;154;54
MENEMEN;UĞUR MUMCU;881;9
MENEMEN;ULUS;289;18
MENEMEN;VİLLAKENT;1485;36
MENEMEN;YAHŞELLİ;871;22
MENEMEN;YANIKKÖY;314;41
MENEMEN;YAYLA;401;19
MENEMEN;YEŞİL PINAR;480;5
MENEMEN;YILDIRIM;708;57
MENEMEN;ZAFER;388;6
MENEMEN;ZEYTİNLİK;299;19
NARLIDERE;2. İNÖNÜ;1029;45
NARLIDERE;ALTIEVLER;729;20
NARLIDERE;ATATÜRK;944;20
NARLIDERE;ÇAMTEPE;382;10
NARLIDERE;ÇATALKAYA;749;18
NARLIDERE;HUZUR;239;16
NARLIDERE;ILICA;523;15
NARLIDERE;LİMANREİS;922;22
NARLIDERE;NARLI;476;5
NARLIDERE;SAHİLEVLERİ;829;28
NARLIDERE;YENİKALE;235;6
ÖDEMİŞ;AKINCILAR;556;16
ÖDEMİŞ;ALAŞARLI;234;35
ÖDEMİŞ;ANAFARTALAR;604;10
ÖDEMİŞ;ARTICAK;79;5
ÖDEMİŞ;ATATÜRK;795;8
ÖDEMİŞ;BADEMLİ;1248;117
ÖDEMİŞ;BALABANLI;406;47
ÖDEMİŞ;BAYIRLI;218;44
ÖDEMİŞ;BEBEKLER;87;1
ÖDEMİŞ;BENGİSU;981;20
ÖDEMİŞ;BEYAZITLAR;113;15
ÖDEMİŞ;BIÇAKÇI;705;21
ÖDEMİŞ;BİRGİ;1567;108
ÖDEMİŞ;BOZCAYAKA;269;40
ÖDEMİŞ;BOZDAĞ;813;78
ÖDEMİŞ;BUCAK;183;16
ÖDEMİŞ;BÜLBÜLLER;87;27
ÖDEMİŞ;BÜYÜKAVULCUK;155;25
ÖDEMİŞ;ÇAĞLAYAN;68;4
ÖDEMİŞ;ÇAMLICA;201;15
ÖDEMİŞ;ÇAMYAYLA;268;24
ÖDEMİŞ;ÇAYIR;190;5
ÖDEMİŞ;ÇAYLI;695;39
ÖDEMİŞ;CEVİZALAN;112;18
ÖDEMİŞ;ÇOBANLAR;117;25
ÖDEMİŞ;CUMHURİYET;706;7
ÖDEMİŞ;DEMİRCİLİ;436;43
ÖDEMİŞ;DEMİRDERE;160;8
ÖDEMİŞ;DEREUZUNYER;82;
ÖDEMİŞ;DOLAYLAR;135;9
ÖDEMİŞ;EMİRLİ;487;34
ÖDEMİŞ;EMMİOĞLU;1539;25
ÖDEMİŞ;ERTUĞRUL;315;41
ÖDEMİŞ;GERÇEKLİ;268;48
ÖDEMİŞ;GERELİ;417;43
ÖDEMİŞ;GÖLCÜK;1659;138
ÖDEMİŞ;GÜNEY;147;5
ÖDEMİŞ;GÜNLÜCE;603;78
ÖDEMİŞ;HACIHASAN;102;5
ÖDEMİŞ;HAMAM;226;12
ÖDEMİŞ;HORZUM;311;29
ÖDEMİŞ;HÜRRİYET;1374;58
ÖDEMİŞ;İLKKURŞUN;143;25
ÖDEMİŞ;İNÖNÜ;1026;12
ÖDEMİŞ;IŞIK;76;5
ÖDEMİŞ;KARADOĞAN;282;31
ÖDEMİŞ;KARAKOVA;88;19
ÖDEMİŞ;KAYAKÖY;823;54
ÖDEMİŞ;KAYMAKÇI;1872;114
ÖDEMİŞ;KAZANLI;231;29
ÖDEMİŞ;KEMENLER;157;7
ÖDEMİŞ;KEMER;142;7
ÖDEMİŞ;KERPİÇLİK;152;8
ÖDEMİŞ;KIŞLA;63;5
ÖDEMİŞ;KIZILCA;101;7
ÖDEMİŞ;KIZILCAAVLU;294;30
ÖDEMİŞ;KÖFÜNDERE;177;30
ÖDEMİŞ;KONAKLI;1025;131
ÖDEMİŞ;KÖSELER;274;11
ÖDEMİŞ;KÜÇÜKAVULCUK;303;36
ÖDEMİŞ;KÜÇÜKÖREN;156;4
ÖDEMİŞ;KÜRE;178;6
ÖDEMİŞ;KURUCUOVA;458;65
ÖDEMİŞ;KUTLUBEYLER;76;10
ÖDEMİŞ;KUVVETLİ;504;16
ÖDEMİŞ;MESCİTLİ;422;24
ÖDEMİŞ;MEŞRUTİYET;436;12
ÖDEMİŞ;MİMAR SİNAN;542;4
ÖDEMİŞ;MURSALLI;211;32
ÖDEMİŞ;OCAKLI;264;13
ÖDEMİŞ;OĞUZLAR;72;7
ÖDEMİŞ;ORHANGAZİ;127;7
ÖDEMİŞ;ORTAKÖY;77;18
ÖDEMİŞ;OVACIK;117;5
ÖDEMİŞ;OVAKENT;1539;107
ÖDEMİŞ;PİRİNÇÇİ;287;8
ÖDEMİŞ;SEKİKÖY;218;37
ÖDEMİŞ;SEYREKLİ;324;42
ÖDEMİŞ;ŞİRİNKÖY;123;26
ÖDEMİŞ;SUÇIKTI;56;3
ÖDEMİŞ;SÜLEYMAN DEMİREL;650;38
ÖDEMİŞ;SÜLEYMANLAR;62;5
ÖDEMİŞ;TEKKE;324;26
ÖDEMİŞ;TOSUNLAR;125;7
ÖDEMİŞ;TÜRKMEN;1847;27
ÖDEMİŞ;TÜRKÖNÜ;194;14
ÖDEMİŞ;ÜÇ EYLÜL;1645;28
ÖDEMİŞ;ÜÇKONAK;283;34
ÖDEMİŞ;UMURBEY;1702;20
ÖDEMİŞ;ÜZÜMLÜ;122;8
ÖDEMİŞ;UZUNDERE;98;9
ÖDEMİŞ;VELİLER;129;11
ÖDEMİŞ;YENİCEKÖY;384;40
ÖDEMİŞ;YENİKÖY;453;37
ÖDEMİŞ;YEŞİLKÖY;94;45
ÖDEMİŞ;YILANLI;86;15
ÖDEMİŞ;YOLÜSTÜ;549;48
ÖDEMİŞ;YUSUFDERE;265;29
ÖDEMİŞ;ZAFER;1149;51
SEFERİHİSAR;ATATÜRK;3444;53
SEFERİHİSAR;BENGİLER;1368;21
SEFERİHİSAR;BEYLER;366;19
SEFERİHİSAR;CAMİKEBİR;2151;139
SEFERİHİSAR;ÇAMTEPE;59;4
SEFERİHİSAR;ÇOLAK İBRAHİM BEY;781;31
SEFERİHİSAR;CUMHURİYET;3460;29
SEFERİHİSAR;DÜZCE;794;79
SEFERİHİSAR;GÖDENCE;201;41
SEFERİHİSAR;GÖLCÜK;96;17
SEFERİHİSAR;HIDIRLIK;3243;133
SEFERİHİSAR;İHSANİYE;82;5
SEFERİHİSAR;KAVAKDERE;187;10
SEFERİHİSAR;MERSİN ALANI;1819;19
SEFERİHİSAR;ORHANLI;902;62
SEFERİHİSAR;PAYAMLI;1758;57
SEFERİHİSAR;SIĞACIK;2524;298
SEFERİHİSAR;TEPECİK;4015;215
SEFERİHİSAR;TURABİYE;770;27
SEFERİHİSAR;TURGUT;238;28
SEFERİHİSAR;ULAMIŞ;1604;141
SELÇUK;14 MAYIS;1403;19
SELÇUK;ACARLAR;231;23
SELÇUK;ATATÜRK;1690;68
SELÇUK;BARUTÇU;141;66
SELÇUK;BELEVİ;973;162
SELÇUK;ÇAMLIK;547;59
SELÇUK;CUMHURİYET;922;10
SELÇUK;GÖKÇEALAN;643;92
SELÇUK;HAVUTÇULU;163;48
SELÇUK;İSA BEY;713;46
SELÇUK;ŞİRİNCE;609;54
SELÇUK;SULTANİYE;56;11
SELÇUK;ZAFER;1186;46
SELÇUK;ZEYTİNKÖY;406;60
TİRE;4 EYLÜL;306;5
TİRE;ADNAN MENDERES;453;79
TİRE;AKÇAŞEHİR;247;25
TİRE;AKKOYUNLU;216;93
TİRE;AKMESCİT;287;4
TİRE;AKYURT;324;69
TİRE;ALACALI;201;63
TİRE;ALAYLI;167;68
TİRE;ARMUTLU;22;3
TİRE;ATATÜRK;382;21
TİRE;AYAKLIKIRI;237;70
TİRE;BAHARİYE;661;9
TİRE;BAŞKÖY;356;10
TİRE;BOYNUYOĞUN;309;38
TİRE;BÜYÜKKALE;380;100
TİRE;BÜYÜKKEMERDERE;233;14
TİRE;BÜYÜKKÖMÜRCÜ;147;9
TİRE;CAMBAZLI;182;10
TİRE;ÇAYIRLI;163;35
TİRE;ÇERİKÖZÜ;159;9
TİRE;ÇİNİYERİ;413;124
TİRE;ÇOBANKÖY;176;26
TİRE;ÇUKURKÖY;80;16
TİRE;CUMHURİYET;697;11
TİRE;DAĞDERE;171;4
TİRE;DALLIK;207;13
TİRE;DERE;844;9
TİRE;DEREBAŞI;832;236
TİRE;DERELİ;162;40
TİRE;DİBEKÇİ;95;2
TİRE;DOYRANLI;254;125
TİRE;DUATEPE;343;26
TİRE;DUMLUPINAR;348;4
TİRE;DÜNDARLI;172;4
TİRE;EĞRİDERE;434;41
TİRE;ERTUĞRUL;386;3
TİRE;ESKİOBA;428;129
TİRE;FATİH;724;19
TİRE;GÖKÇEN;508;127
TİRE;HALKAPINAR;137;41
TİRE;HASANÇAVUŞLAR;80;29
TİRE;HİSARLIK;168;15
TİRE;HÜRRİYET;621;17
TİRE;İBNİ MELEK;724;67
TİRE;İHSANİYE;690;48
TİRE;İPEKÇİLER;799;13
TİRE;IŞIKLAR;170;59
TİRE;IŞIKLI;400;64
TİRE;İSTİKLAL;801;13
TİRE;KAHRAT;799;236
TİRE;KAPLAN;172;8
TİRE;KARACA ALİ;242;31
TİRE;KARATEKE;316;126
TİRE;KETENCİ;592;4
TİRE;KİRELİ;521;41
TİRE;KIRTEPE;303;87
TİRE;KIZILCAHAVLU;262;19
TİRE;KOCAALİLER;85;6
TİRE;KÜÇÜKBURUN;57;4
TİRE;KÜÇÜKKALE;198;46
TİRE;KÜÇÜKKEMERDERE;309;21
TİRE;KÜÇÜKKÖMÜRCÜ;87;10
TİRE;KÜRDÜLLÜ;171;53
TİRE;KURŞAK;111;58
TİRE;KURTULUŞ;868;5
TİRE;MAHMUTLAR;202;64
TİRE;MEHMETLER;173;52
TİRE;MUSALAR;122;9
TİRE;ORTAKÖY;83;11
TİRE;OSMANCIK;162;32
TİRE;PAŞA;548;9
TİRE;PEŞREFLİ;395;160
TİRE;SARILAR;226;30
TİRE;SARUHANLI;127;21
TİRE;SOMAK;127;6
TİRE;TOKİ;200;26
TİRE;TOPALAK;126;4
TİRE;TOPARLAR;78;3
TİRE;TURAN;631;47
TİRE;TURGUTLU;81;27
TİRE;ÜZÜMLER;141;48
TİRE;YAMANDERE;100;1
TİRE;YEĞENLİ;299;109
TİRE;YEMİŞLER;69;10
TİRE;YENİ;1172;35
TİRE;YENİÇİFTLİK;327;89
TİRE;YENİOBA;255;54
TİRE;YENİŞEHİR;102;6
TORBALI;19 MAYIS;271;38
TORBALI;AHMETLİ;423;55
TORBALI;ALPKENT;457;7
TORBALI;ARSLANLAR;506;120
TORBALI;ATALAN;242;149
TORBALI;ATATÜRK;1522;10
TORBALI;AYRANCILAR;1033;25
TORBALI;BAHÇELİEVLER;346;34
TORBALI;BOZKÖY;366;19
TORBALI;BÜLBÜLDERE;121;18
TORBALI;ÇAKIRBEYLİ;443;62
TORBALI;ÇAMLICA;140;26
TORBALI;ÇAPAK;850;53
TORBALI;ÇAYBAŞI;532;53
TORBALI;CUMHURİYET;204;3
TORBALI;DAĞKIZILCA;725;44
TORBALI;DAĞTEKE;75;26
TORBALI;DEMİRCİ;388;45
TORBALI;DİRMİL;559;62
TORBALI;DÜVERLİK;119;13
TORBALI;EĞERCİ;315;32
TORBALI;ERTUĞRUL;1375;12
TORBALI;FEVZİ ÇAKMAK;1311;38
TORBALI;GAZİ MUSTAFA KEMAL;560;64
TORBALI;GÖLLÜCE;319;76
TORBALI;HELVACI;205;27
TORBALI;İNÖNÜ;1838;68
TORBALI;İSTİKLAL;675;51
TORBALI;KAPLANCIK;97;14
TORBALI;KARAKIZLAR;320;18
TORBALI;KARAKUYU;314;44
TORBALI;KARAOT;212;11
TORBALI;KARŞIYAKA;452;15
TORBALI;KAZIM KARABEKİR;757;83
TORBALI;KIRBAŞ;117;73
TORBALI;KUŞÇUBURUN;678;55
TORBALI;MURATBEY;1724;24
TORBALI;MUSTAFA KEMAL ATATÜRK;413;11
TORBALI;NAİME;125;34
TORBALI;ORMANKÖY;153;20
TORBALI;ORTAKÖY;63;32
TORBALI;ÖZBEY;739;44
TORBALI;PAMUKYAZI;578;53
TORBALI;PANCAR;492;60
TORBALI;SAĞLIK;74;2
TORBALI;SAİPLER;239;12
TORBALI;ŞEHİTLER;399;19
TORBALI;SUBAŞI;712;51
TORBALI;TAŞKESİK;180;27
TORBALI;TEPEKÖY;952;9
TORBALI;TORBALI;1428;40
TORBALI;TULUM;169;24
TORBALI;TÜRKMENKÖY;312;14
TORBALI;YAZIBAŞI;1127;107
TORBALI;YEDİ EYLÜL;1467;49
TORBALI;YEMİŞLİK;251;8
TORBALI;YENİ;500;
TORBALI;YENİKÖY;609;49
TORBALI;YEŞİLKÖY;271;8
TORBALI;YOĞURTÇULAR;194;12
URLA;ALTINTAŞ;1006;14
URLA;ATATÜRK;2404;86
URLA;BADEMLER;1133;130
URLA;BALIKLIOVA;889;42
URLA;BARBAROS;371;57
URLA;BİRGİ;160;27
URLA;CAMİATİK;507;17
URLA;ÇAMLIÇAY;1076;19
URLA;DEMİRCİLİ;116;14
URLA;DENİZLİ;2446;94
URLA;GÜLBAHÇE;2696;34
URLA;GÜVENDİK;1992;50
URLA;HACI İSA;422;5
URLA;İÇMELER;2169;129
URLA;İSKELE;1684;67
URLA;KADIOVACIK;169;27
URLA;KALABAK;2501;74
URLA;KUŞÇULAR;1873;519
URLA;M.FEVZİ ÇAKMAK;777;31
URLA;NAİPLİ;64;3
URLA;NOHUTALAN;99;26
URLA;OVACIK;91;29
URLA;ÖZBEK;1792;33
URLA;RÜSTEM;337;27
URLA;SIRA;704;32
URLA;ŞİRİNKENT;1009;34
URLA;TORASAN;1043;23
URLA;UZUNKUYU;346;77
URLA;YAĞCILAR;563;31
URLA;YAKA;1268;43
URLA;YELALTI;659;137
URLA;YENİ;323;12
URLA;YENİCE;1027;74
URLA;YENİKENT;1183;39
URLA;ZEYTİNALANI;690;18
URLA;ZEYTİNELİ;278;60
URLA;ZEYTİNLER;293;42
